Symphony $<text> $<selection> 3.6.0 $<started_on> $<monday:u>, $<june:u> 7, 2021, 2:39 PM
$(3091)KCAT.
$(3090)
$(1232)
$(1239)
$(3093)
20210607143944 BRS/Search-Engine v.62 started for seltext1
  1 records found for #222: "2670000000274903".NM02.
  1 records found for #224: "2670000000274929".NM02.
  1 records found for #226: "2670000000312307".NM02.
  1 records found for #228: "2670000000338858".NM02.
  1 records found for #230: "2670000000338884".NM02.
  1 records found for #232: "2670000000345073".NM02.
  1 records found for #234: "2670000000374171".NM02.
  1 records found for #236: "2670000000374246".NM02.
  0 records found for #237: "2670000000395304".NM02.
  0 records found for #238: "2670000000395427".NM02.
  0 records found for #239: "2670000000409741".NM02.
  1 records found for #241: "2670000000409767".NM02.
  0 records found for #242: "2670000000485462".NM02.
  0 records found for #243: "2670000000525441".NM02.
  1 records found for #245: "2670000000554053".NM02.
  1 records found for #247: "2670000000554760".NM02.
  1 records found for #249: "2670000000566806".NM02.
  0 records found for #250: "3310000000005169".NM02.
  0 records found for #251: "3360000000482634".NM02.
  1 records found for #253: "3380000000000186".NM02.
  0 records found for #254: "3420000000000002".NM02.
  0 records found for #255: "3460000000085432".NM02.
  1 records found for #257: "3710000000126514".NM02.
  1 records found for #259: "3710000000353970".NM02.
  0 records found for #260: "3710000000520832".NM02.
  1 records found for #262: "3710000000536519".NM02.
  1 records found for #264: "3710000000536952".NM02.
  1 records found for #266: "3710000000998437".NM02.
  0 records found for #267: "3780000000080097".NM02.
  0 records found for #268: "3780000000108716".NM02.
  0 records found for #269: "3780000000385878".NM02.
  0 records found for #270: "3790000000132472".NM02.
  0 records found for #271: "3800000000152137".NM02.
  0 records found for #272: "4100000004840268".NM02.
  1 records found for #274: "4100000005061568".NM02.
  0 records found for #275: "4100000005323011".NM02.
  0 records found for #276: "4330000001276045".NM02.
  0 records found for #277: "4920000000476718".NM02.
  0 records found for #278: "5470000000497351".NM02.
  0 records found for #279: "5470000000497823".NM02.
  0 records found for #280: "5490000000080191".NM02.
